"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2024","40.35","38.22","40.35","37.57","14.88M","2.96%"
"01/09/2024","39.19","39.00","39.88","38.85","9.26M","0.49%"
"01/08/2024","39.00","37.86","39.23","36.40","11.37M","4.95%"
"01/05/2024","37.16","37.01","37.29","36.01","4.99M","-0.24%"
"01/04/2024","37.25","36.14","37.50","35.84","6.43M","4.78%"
"01/03/2024","35.55","34.68","35.87","34.65","5.83M","-3.53%"
"01/02/2024","36.85","37.26","37.56","36.63","9.17M","6.44%"
"12/29/2023","34.62","35.00","35.80","33.95","6.35M","-0.55%"
"12/28/2023","34.81","35.58","36.22","34.77","8.16M","-3.97%"
"12/27/2023","36.25","36.08","36.55","36.06","6.73M","1.68%"
"12/26/2023","35.65","36.20","36.28","35.05","5.08M","-3.41%"
"12/22/2023","36.91","36.10","37.06","36.08","4.07M","1.68%"
"12/21/2023","36.30","36.24","36.40","35.83","3.21M","1.31%"
"12/20/2023","35.83","36.00","36.56","35.66","5.26M","2.58%"
"12/19/2023","34.93","34.93","35.14","34.50","4.12M","1.13%"
"12/18/2023","34.54","33.40","34.55","33.39","5.26M","1.29%"
"12/15/2023","34.10","34.35","34.40","33.29","4.20M","-2.29%"
"12/14/2023","34.90","35.21","35.33","34.42","5.26M","-1.94%"
"12/13/2023","35.59","33.47","35.62","33.40","6.21M","6.49%"
"12/12/2023","33.42","32.94","33.59","32.81","4.41M","2.96%"
"12/11/2023","32.46","33.52","33.75","31.93","7.48M","-8.59%"