"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.06.2025","98,68","99,38","99,35","98,60","0,00K","-0,67%"
"01.06.2025","99,35","99,38","99,40","99,29","","0,02%"
"30.05.2025","99,33","99,25","99,67","99,13","","0,05%"
"29.05.2025","99,28","100,54","100,54","99,22","0,00K","-0,60%"
"28.05.2025","99,88","99,53","99,96","99,44","0,00K","0,36%"
"27.05.2025","99,52","98,96","99,61","98,78","0,00K","0,41%"
"26.05.2025","99,11","99,09","99,16","98,69","0,00K","0,00%"
"23.05.2025","99,11","99,88","99,94","99,05","","-0,85%"
"22.05.2025","99,96","99,64","100,12","99,44","0,00K","0,40%"
"21.05.2025","99,56","99,99","99,99","99,34","0,00K","-0,56%"
"20.05.2025","100,12","100,43","100,58","100,01","0,00K","-0,31%"
"19.05.2025","100,43","100,90","100,90","100,06","0,00K","-0,66%"
"16.05.2025","101,09","100,77","101,26","100,52","","0,21%"
"15.05.2025","100,88","100,97","101,06","100,59","0,00K","-0,16%"
"14.05.2025","101,04","100,95","101,14","100,27","0,00K","0,04%"
"13.05.2025","101,00","101,72","101,76","100,91","0,00K","-0,77%"
"12.05.2025","101,79","100,69","101,98","100,51","0,00K","1,44%"
"09.05.2025","100,34","100,64","100,86","100,09","","-0,30%"
"08.05.2025","100,64","99,85","100,76","99,61","0,00K","1,03%"
"07.05.2025","99,61","99,50","99,97","99,29","0,00K","0,38%"
"06.05.2025","99,24","99,83","100,10","99,17","0,00K","-0,59%"
"05.05.2025","99,83","100,00","100,05","99,46","","-0,20%"
"02.05.2025","100,03","100,18","100,33","99,40","","-0,22%"
"01.05.2025","100,25","99,65","100,38","99,61","","0,78%"